0x39a	0x3b2
0x87f	0x923
0xea0	0xfe5
0x121b	0x1233
0x16c8	0x1720
0x1c90	0x1d6f
0x21a6	0x21eb
0x222c	0x225a
0x2265	0x2310
0x2365	0x2383
0x2391	0x23c7
0x23f5	0x2407
0x240e	0x2420
0x2427	0x2460
0x24d8	0x2564
0x25a3	0x25a3
0x25da	0x25da
0x2611	0x2611
0x265b	0x2675
0x267a	0x268c
0x2691	0x26bb
0x26c1	0x26d5
0x3b7	0x316d
0x3f2	0x31b8
0x925	0x3337
0xff0	0x346f
0x1116	0x3493
0x1ab4	0x3611
0x1d79	0x365a
0x1f26	0x367e
0x2023	0x36e9
0x20f5	0x3710
0x212e	0x375e
0x2191	0x3781
0x21f2	0x37a4
0x220f	0x37ca
0x23d3	0x37f0
0x2487	0x3816
0x2734	0x383c
0x96d	0xccd0x96d
0x1576	0xccd0x1576
0x1a4c	0x1aae0x1a4c
0x172a	0x35a60x172a
0x188f	0x35c90x188f
0x18f2	0x35ed0x18f2
0x1b78	0x36330x1b78
0x1e9d	0x36330x1e9d
0x18bb	0x36a10x18bb
0x18bb	0x36c50x18bb
