0x1c9	0x483a7f6
0x201	0x59a4c18
0x209	0x6bfcec6
0x211	0x2f596d6b
0x219	0x33ef1f21
0x258	0x3a4ef544
0x260	0x3fd8b02f
0x268	0x5349c107
0x294	0x54fd4d50
0x29c	0x59355736
0x2c2	0x5f805e74
0x2e8	0x638c7e17
0x30c	0x64111b6a
0x32b	0x64a7ce99
0x333	0x6f229cc3
0x375	0x7161f613
0x37d	0x76396efb
0x3a9	0x8129fc1c
0x3b1	0x8da5cb5b
0x3b9	0x8f32d59b
0x3d5	0x8ff878be
0x3fb	0xa2e62045
0x403	0xc55b3cbc
0x429	0xe09facdf
0x431	0xf0eb3af7
0x439	0xf2fde38b
0x45f	0xf4954387
0x47e	0xf96757d1
0x1e34	0x00000000
