0x48e	0x4a3
0x58b	0x5bf
0x677	0x6a7
0x7c6	0x7c6
0x7eb	0x7eb
0x548	0x9b7
0x58b	0x9d9
0x648	0xa28
0x659	0xa4d
0x76c	0xae3
0x77a	0xb08
0x788	0xb2d
0x798	0xb52
0x7a8	0xb77
0x7b8	0xb9c
0x7cf	0xbc1
0x7ee	0xbe6
