0xd71	0xe1d
0xfec	0x1007
0x100c	0x1036
0x10bf	0x127b
0x128a	0x1510
0x1c5c	0x1dd1
0x1e82	0x2001
0x211e	0x22bb
0x27b1	0x2871
0x3371	0x33d9
0x33e8	0x3951
0x3bf6	0x3cdb
0x3d27	0x3ef7
0x406f	0x4329
0x475e	0x480a
0x4812	0x49f8
0x4a94	0x4cc4
0x4cd4	0x4d5a
0x5210	0x522d
0x526f	0x529c
0x5410	0x546d
0x5499	0x5565
0x5577	0x55a9
0x55b5	0x5609
0x5615	0x5626
0x5666	0x5693
0x56d6	0x56d6
0x56f1	0x56f1
0x571a	0x571a
0x577e	0x579d
0x57b1	0x57b1
0x57da	0x57da
0x5801	0x5801
0x586b	0x586b
0x5896	0x5896
0x58e4	0x58e4
0x5911	0x5911
0x595b	0x595b
0x597c	0x597c
0x59c4	0x59fb
0x5a03	0x5a16
0x5a1b	0x5a36
0x5a3b	0x5a78
0x5b75	0x5b8f
0x5b94	0x5ba6
0x5bab	0x5bcf
0x5c0c	0x5c20
0xe24	0x6f7d
0x128a	0x7021
0x128a	0x708d
0x154c	0x70fd
0x15cc	0x7120
0x1700	0x716c
0x17d3	0x718e
0x19af	0x71ba
0x19bb	0x7229
0x200d	0x730b
0x2067	0x7358
0x2067	0x737c
0x211e	0x741b
0x211e	0x7462
0x2608	0x7575
0x2b01	0x75ef
0x2b01	0x7613
0x2bb3	0x7637
0x2bb3	0x765a
0x2bea	0x7720
0x2bea	0x7747
0x3077	0x776e
0x3077	0x77ed
0x3077	0x7848
0x3077	0x786c
0x3371	0x78b8
0x33e8	0x792c
0x3ac8	0x79e7
0x3bf6	0x7a36
0x3ef9	0x7a86
0x4554	0x7aaa
0x45bf	0x7acf
0x46d8	0x7af3
0x4708	0x7b17
0x4812	0x7b3a
0x4812	0x7b60
0x4812	0x7b86
0x4812	0x7bac
0x4a05	0x7bd2
0x4a05	0x7bf6
0x4a05	0x7c1a
0x4a05	0x7c3e
0x4a94	0x7c87
0x4a94	0x7cae
0x4a94	0x7cd5
0x4a94	0x7cfc
0x4a94	0x7d23
0x4cd4	0x7d72
0x4f1a	0x7dde
0x4fec	0x7e05
0x5025	0x7e53
0x50a9	0x7e76
0x50be	0x7e99
0x50c9	0x7ebd
0x5113	0x7ee3
0x5153	0x7f09
0x5164	0x7f2e
0x517b	0x7f52
0x5479	0x7f78
0x569e	0x7f9e
0x5a81	0x7fc4
0x5b4f	0x80f8
0x5bab	0x8148
0x5bd7	0x816d
0x5c3d	0x8192
0x5c52	0x81b4
0xcc8	0xd580xcc8
0x1dd8	0xd580x1dd8
0x27b1	0xd580x27b1
0x197f	0x298f0x197f
0x2877	0x298f0x2877
0x3f20	0x298f0x3f20
0x5197	0x51f30x5197
0x5330	0x51f30x5330
0x523b	0x525a0x523b
0x53fc	0x525a0x53fc
0x19bb	0x72060x19bb
0x2bb3	0x72060x2bb3
0x299c	0x75c70x299c
0x14c8	0x79560x14c8
0x2f4f	0x79560x2f4f
0x2f85	0x79560x2f85
0x397d	0x79560x397d
0x14c8	0x79790x14c8
0x2f4f	0x79790x2f4f
0x2f85	0x79790x2f85
0x397d	0x79790x397d
0x14c8	0x799c0x14c8
0x2f4f	0x799c0x2f4f
0x2f85	0x799c0x2f85
0x397d	0x799c0x397d
0x4588	0x7d960x4588
0x4588	0x7dba0x4588
