0xef7S0x563
0xf00S0x563
0xf0bS0x563
0xf12S0x563
0xf19S0x563
0x1f55S0xa6c
0x1f5eS0xa6c
0x1f69S0xa6c
0x1f70S0xa6c
0x1f77S0xa6c
0x26fbS0xbfc
0x2704S0xbfc
0x270fS0xbfc
0x2716S0xbfc
0x271dS0xbfc
0x2a070x1c5cS0x99f
0x45400x1c5cS0x99f
0x5bbeS0x56baS0x4e480x4554S0x2b9b
0x5bd5S0x56baS0x4e480x4554S0x2b9b
0x5bbeS0x56baS0x4e480x4588S0x46d8
0x5bd5S0x56baS0x4e480x4588S0x46d8
