0xd2b	0xdb2
0x1190	0x11c9
0x11ee	0x11ee
0x12d0	0x12d0
0x12df	0x12f6
0x148e	0x14b9
0x164a	0x164a
0x1c17	0x1d7b
0x204b	0x204b
0x2481	0x24a5
0x29c7	0x2b47
0x2f6b	0x2fbc
0x2fca	0x3155
0x34c9	0x3650
0x38d0	0x3900
0x3909	0x3909
0x39ab	0x39ab
0x39c9	0x39c9
0x3a5f	0x3ac1
0x3f13	0x3f48
0x3f72	0x4029
0x41d8	0x4273
0x43a5	0x4406
0x448e	0x44a7
0x44ad	0x44db
0x4514	0x4593
0x4db1	0x4dfd
0x4fb8	0x501c
0x545b	0x5479
0x54a1	0x54b7
0x54c8	0x54c8
0x54e0	0x54e0
0x54ea	0x54ea
0x54fe	0x54fe
0x5503	0x5503
0x551b	0x551b
0x5533	0x5533
0x5544	0x5544
0x5550	0x5574
0xad5	0x5b19
0xad5	0x5b40
0x129f	0x5dd3
0x12b9	0x5e3f
0x1305	0x5e87
0x1312	0x5ef7
0x14c1	0x5f1b
0x14c1	0x5f42
0x1739	0x602d
0x1ba1	0x618c
0x1e1d	0x6253
0x1e1d	0x62cf
0x1ef7	0x631d
0x1f27	0x6367
0x1fb9	0x63af
0x204f	0x64bf
0x2137	0x64eb
0x236b	0x6655
0x26c7	0x67c1
0x289b	0x68fa
0x289b	0x6920
0x28ca	0x6999
0x29c7	0x69bd
0x29c7	0x69e2
0x2c9d	0x6b42
0x2cfd	0x6bbe
0x2cfd	0x6c0e
0x2d29	0x6c33
0x2e09	0x6c7f
0x3164	0x6d4b
0x3248	0x6e6b
0x3248	0x6e90
0x3403	0x6f58
0x3403	0x6f7e
0x3659	0x709e
0x3659	0x70d0
0x38d0	0x7102
0x392d	0x7129
0x39e7	0x714c
0x3a01	0x7191
0x3a0c	0x71b6
0x3a17	0x71db
0x3acb	0x7225
0x3ad6	0x724a
0x3ae1	0x726f
0x3aec	0x7294
0x3af7	0x72b9
0x3b38	0x7303
0x3b87	0x734f
0x3bcd	0x7377
0x3c33	0x739c
0x3c3e	0x73c1
0x3c49	0x73e6
0x3c54	0x740b
0x3c72	0x7432
0x3c90	0x7459
0x3d2c	0x7487
0x3db3	0x74d9
0x3eb1	0x7530
0x3f54	0x7559
0x4039	0x7580
0x40dd	0x75ae
0x40fb	0x75d5
0x4119	0x75fc
0x4137	0x7623
0x4155	0x764a
0x4173	0x7671
0x41ba	0x769a
0x4284	0x76c1
0x42e6	0x76ea
0x4318	0x7738
0x4330	0x7785
0x433f	0x77aa
0x4348	0x77cf
0x77f4	0x77f4
0x7818	0x7818
0x4359	0x783a
0x7861	0x7861
0x7885	0x7885
0x4413	0x78a7
0x445f	0x78ce
0x4468	0x78f3
0x7918	0x7918
0x4471	0x793a
0x795f	0x795f
0x7981	0x7981
0x4482	0x79a3
0x79c8	0x79c8
0x79ec	0x79ec
0x4514	0x7a10
0x7a37	0x7a37
0x4514	0x7a5b
0x7a82	0x7a82
0x7aa6	0x7aa6
0x7aca	0x7aca
0x4d9f	0x7b13
0x4da8	0x7b38
0x4e0a	0x7b5d
0x4e30	0x7b86
0x4e56	0x7bae
0x4e63	0x7bd5
0x4e6f	0x7bfb
0x4ea2	0x7c4a
0x4ead	0x7c6f
0x4ebb	0x7c94
0x4ec9	0x7cb9
0x4ee4	0x7cdf
0x5029	0x7d54
0x507f	0x7da1
0x508d	0x7dc6
0x50ea	0x7deb
0x5162	0x7e14
0x5411	0x7e5f
0x541f	0x7e84
0x544d	0x7eab
0x5550	0x7ed0
0x7f17	0x7f17
0xa93	0xad00xa93
0x17cb	0xad00x17cb
0x2137	0xad00x2137
0x5173	0xad00x5173
0x5183	0xad00x5183
0x5193	0xad00x5193
0x51a3	0xad00x51a3
0x51b3	0xad00x51b3
0x51c3	0xad00x51c3
0x51d3	0xad00x51d3
0x51e3	0xad00x51e3
0x51f3	0xad00x51f3
0x5203	0xad00x5203
0x5213	0xad00x5213
0x5223	0xad00x5223
0x5233	0xad00x5233
0x5243	0xad00x5243
0x5253	0xad00x5253
0x5263	0xad00x5263
0x5273	0xad00x5273
0x5283	0xad00x5283
0x5293	0xad00x5293
0x52a3	0xad00x52a3
0x52b3	0xad00x52b3
0x52c3	0xad00x52c3
0x52d3	0xad00x52d3
0x52e3	0xad00x52e3
0x52f3	0xad00x52f3
0x5303	0xad00x5303
0x5313	0xad00x5313
0x5323	0xad00x5323
0x5333	0xad00x5333
0x5343	0xad00x5343
0x5353	0xad00x5353
0x5363	0xad00x5363
0x5373	0xad00x5373
0x5383	0xad00x5383
0x5393	0xad00x5393
0x53a3	0xad00x53a3
0x53b3	0xad00x53b3
0x53c3	0xad00x53c3
0x53d3	0xad00x53d3
0x53e3	0xad00x53e3
0x53f3	0xad00x53f3
0x54f3	0xad00x54f3
0x5510	0xad00x5510
0x5539	0xad00x5539
0x557c	0xad00x557c
0xad5	0xb580xad5
0x14c1	0xb580x14c1
0xb60	0xb780xb60
0x10a4	0xb780x10a4
0x15dc	0xb780x15dc
0x166f	0xb780x166f
0xb7e	0xbaa0xb7e
0x1815	0xbaa0x1815
0x10f8	0x11630x10f8
0x1533	0x11630x1533
0x214b	0x23600x214b
0x509b	0x23600x509b
0x24ad	0x26bb0x24ad
0x4f5c	0x26bb0x4f5c
0xbb3	0x5baf0xbb3
0xcf5	0x5baf0xcf5
0x17e1	0x5baf0x17e1
0x2103	0x5baf0x2103
0x2dd1	0x5baf0x2dd1
0x1fcf	0x63d60x1fcf
0x1fcf	0x63fb0x1fcf
0x2009	0x64490x2009
0x2d8f	0x6c590x2d8f
0x3d66	0x74b00x3d66
0x42b4	0x74b00x42b4
0x3e40	0x75070x3e40
0x3ee1	0x75070x3ee1
0x4eff	0x7d050x4eff
0x513a	0x7d050x513a
0x4f34	0x7d2d0x4f34
0x5064	0x7d2d0x5064
0x512c	0x7d2d0x512c
0x5049	0x7d7b0x5049
0x543f	0x7d7b0x543f
0x559d	0x7ef50x559d
0x55b1	0x7ef50x55b1
0x55ba	0x7ef50x55ba
0x55c3	0x7ef50x55c3
0x55cc	0x7ef50x55cc
0x55d5	0x7ef50x55d5
0x55de	0x7ef50x55de
