0x140b	decimals()
0x1e9c	lendingFeePercent()
0x2adc	permit(address,address,uint256,uint256,uint8,bytes32,bytes32)
0x2d77	settleInterest(bytes32)
0x2e73	calculateIR(uint256,uint256)
0x37e1	deposit()
0xc020xbb3	getTWAI(address)
0xc020xcf5	getTotalPrincipal(address,address)
0xc020x2103	getPoolPrincipalStored(address)
0xc020x2dd1	balanceOf(address)
0x342dS0x6b67	transfer(address,uint256)
0x342dS0x6d71	transferFrom(address,address,uint256)
0x282eS0x65d	deposit()
0xc020x17e1S0x94d	getPoolLastInterestRate(address)
0x282eS0x14aeS0x813	deposit()
0x2346S0xcc9	setDepositAmount(bytes32,uint256,uint256)
0x3518S0x2f6bS0x2261S0xcc9	priceFeeds()
0x35a2S0x2f6bS0x2261S0xcc9	queryRate(address,address)
0x291bS0x1440	allowance(address,address)
0x32a0S0x2990S0x1440	approve(address,uint256)
