0x7c3	0xa68
0xa70	0xa70
0xad5	0xb26
0xdf5	0xe8d
0xe97	0xede
0xf0d	0xf5e
0x1040	0x1040
0x10b8	0x120d
0x1281	0x12fc
0x1345	0x1403
0x1501	0x1501
0x1559	0x188e
0x1893	0x1893
0x190b	0x19b0
0x19b3	0x19b3
0x1a0b	0x1a5c
0x1ab4	0x1adc
0x1bf3	0x1c07
0x1c11	0x1cce
0x1e62	0x1e96
0xdf5	0x1ed8
0xdf5	0x1f01
0x1d19	0x1d270x1d19
