0xfa	0x18b1ed47
0x10f	0x248a9ca3
0x138	0x2f2ff15d
0x14b	0x36568abe
0x15e	0x485cc955
0x171	0x51f6cf2f
0x196	0x768f304f
0x1a9	0x8824c62d
0x1c9	0x9010d07c
0x1e9	0x91d14854
0x209	0xa217fddf
0x211	0xb4c30f7b
0x224	0xca15c873
0x237	0xd547741f
0x24a	0xec87621c
0x11aa	0x00000000
