0x22c	0x15f69012
0x24e	0x201d0f82
0x299	0x2e1a7d4d
0x2b9	0x41b3d185
0x2cf	0x56c022bb
0x307	0x572b6c05
0x346	0x5d9c31d3
0x373	0x6d88f451
0x386	0x715018a6
0x39b	0x8da5cb5b
0x3b9	0x8fcc9cfb
0x3d9	0x9878cbb3
0x40f	0x9afd453c
0x42f	0xa040cb85
0x44f	0xc4d66de8
0x46f	0xda742228
0x48f	0xe744092e
0x4bf	0xf2fde38b
0x1669	0x00000000
