0x0	__function_selector__
0x22c	setTokenAllowed(address,bool)
0x24e	depositorBalances(address,uint256)
0x299	withdraw(uint256)
0x2b9	minDeposit()
0x2cf	_trustedForwarder()
0x307	isTrustedForwarder(address)
0x346	dappBalances(uint256)
0x373	depositFor(uint256)
0x386	renounceOwnership()
0x39b	owner()
0x3b9	setMinDeposit(uint256)
0x3d9	tokenPriceFeed(address)
0x40f	masterAccount()
0x42f	setMasterAccount(address)
0x44f	initialize(address)
0x46f	setTrustedForwarder(address)
0x48f	allowedTokens(address)
0x4bf	transferOwnership(address)
0x896	0x896
0x9ff	0x9ff
0xb8c	0xb8c
0xc46	0xc46
0xc55	0xc55
0xca7	0xca7
0xd1c	0xd1c
0xdbf	0xdbf
0xe46	0xe46
0xeb0	0xeb0
0xf17	0xf17
0xf3a	0xf3a
0xfa1	0xfa1
0xfb9	0xfb9
0x1007	0x1007
0x103c	0x103c
0x1060	0x1060
0x1669	()
0x1669	fallback()
