0x0	0xc
0x1a	0x2b
0xcb0	0xce5
0xd56	0xd70
0x1f04	0x1f4e
0x10	0x1a
0xb8	0xc4
0x7c	0x88
0xff	0x10b
0x144	0x169
0x88b	0x8dd
0x184	0x198
0x169	0x172
0x92d	0x944
0xabe	0xad5
0x2df	0x2f8
0x2fc	0x30a
0x30e	0x32c
0x330	0x38f
0x393	0x3a1
0x3a5	0x3c3
0xc19	0xc2f
0xd8e	0xda5
0x107a	0x1091
0x11c1	0x11d7
0x1372	0x1388
0x688	0x6ad
0x15e5	0x1637
0x6c8	0x6dc
0x6ad	0x6b6
0x1687	0x169e
0x17d6	0x17ed
0x8f8	0x906
0x906	0x91a
0x9b1	0x9bb
0xa43	0xa48
0x9c9	0xa43
0x1a46	0x1a7c
0x1c3d	0x1c73
0x1ef7	0x1f04
0xc40	0xc45
0xc95	0xcb0
0xd4f	0xd56
0x20b1	0x20e7
0xee9	0xf05
0xf72	0xf87
0x1124	0x1140
0x22f6	0x232c
0x1429	0x1445
0x14b2	0x14c8
0x1652	0x1660
0x1660	0x1674
0x1923	0x193f
0x19ac	0x19e2
0x1acc	0x1b02
0x1cc3	0x1cf9
0x1f69	0x1f7d
0x1f4e	0x1f57
0x1bf	0x1d1
0x243	0x255
0x2c9	0x2db
0x456	0x468
0x4c6	0x4d8
0x52c	0x53e
0x57c	0x58e
0x5de	0x5f0
0x703	0x715
0x769	0x77b
0x7cf	0x7e1
0x847	0x859
0x2b	0x36
0x36	0x41
0x41	0x4c
0x4c	0x57
0x57	0x62
0x62	0x6d
0x6d	0x78
0x88	0x93
0x93	0x9e
0x9e	0xa9
0xa9	0xb4
0xc4	0xcf
0xcf	0xda
0xda	0xe5
0xe5	0xf0
0xf0	0xfb
0x10b	0x116
0x116	0x121
0x121	0x12c
0x12c	0x137
0x198	0x1b1
0x6dc	0x6f5
0x8dd	0x8e5
0x91a	0x923
0xc2f	0xc40
0x1637	0x163f
0x1674	0x167d
0x1f7d	0x1f96
0x226eB0xe2e	0x227fB0xe2e
0x226eB0x1db5	0x227fB0x1db5
0x226eB0x2154	0x227fB0x2154
0x226eB0x2169	0x227fB0x2169
0x268eB0xcf5	0x26bfB0xcf5
0x26cfB0xcf5	0x26deB0xcf5
0x26e1B0xcf5	0x26eaB0xcf5
0x26deB0xcf5	0x26e1B0xcf5
0x270eB0x26fdB0xcf5	0x2714B0x26fdB0xcf5
0x2714B0x26fdB0xcf5	0x271dB0x26fdB0xcf5
0x204eB0xcf0	0x2083B0xcf0
0x2093B0xcf0	0x20adB0xcf0
0x1fb7B0xcf0	0x1fcdB0xcf0
0x1fdeB0xcf0	0x1fe3B0xcf0
0x2033B0xcf0	0x204eB0xcf0
0x208cB0xcf0	0x2093B0xcf0
0x1fcdB0xcf0	0x1fdeB0xcf0
0x268eB0xd0b	0x26bfB0xd0b
0x26cfB0xd0b	0x26deB0xd0b
0x26e1B0xd0b	0x26eaB0xd0b
0x26deB0xd0b	0x26e1B0xd0b
0x270eB0x26fdB0xd0b	0x2714B0x26fdB0xd0b
0x2714B0x26fdB0xd0b	0x271dB0x26fdB0xd0b
0x12ddB0x5d4	0x12f9B0x5d4
0x26fcB0xcf5	0x26fdB0xcf5
0x26fcB0xd0b	0x26fdB0xd0b
