0x0	0xd
0x3f	0x4a
0x60	0x6b
0xd	0x1e
0x10f8	0x1110
0x119d	0x11a8
0x461	0x59fb
0x23f	0x24b
0x139	0x145
0xb6	0xc2
0x7a	0x86
0xfd	0x109
0x1c7	0x1d3
0x18b	0x197
0x20e	0x21a
0x35b	0x367
0x2d8	0x2e4
0x29c	0x2a8
0x31f	0x32b
0x3e9	0x3f5
0x3ad	0x3b9
0x430	0x43c
0x3918	0x3928
0x10a2	0x10b3
0x38d8	0x38e9
0x20b3	0x20d8
0x20f6	0x2135
0x3849	0x385b
0x22e1	0x22f4
0xc55	0xc5b
0xc6c	0xc71
0x1e	0x29
0x104a	0x104f
0x1064	0x1086
0x104f	0x1059
0x10bb	0x10c1
0x10c9	0x10ce
0x10e5	0x10f8
0x1110	0x111c
0x113b	0x119d
0x1210	0x121c
0x2a3c	0x2a50
0x1282	0x1296
0x129a	0x12a5
0x12d2	0x12db
0x131c	0x1330
0x1334	0x133f
0x13aa	0x13be
0x13c2	0x13cd
0x13fa	0x140a
0x1498	0x14a3
0x1444	0x145a
0x145e	0x1469
0x1496	0x1498
0x14f1	0x1507
0x150b	0x1516
0x1597	0x15ab
0x15af	0x15ba
0x1603	0x1619
0x161d	0x1628
0x1631	0x1636
0x9c	0xa7
0x1c3a	0x1c45
0x1e82	0x1e8d
0x2019	0x2024
0x2136	0x2177
0x2178	0x21b9
0x21ba	0x21fb
0x22a5	0x22b0
0x26dc	0x26e8
0x26e9	0x26f0
0x3116	0x311f
0x2791	0x27e0
0x26cd	0x26d5
0x27e4	0x27ef
0x314d	0x3159
0x2a5f	0x2a64
0x2f83	0x2f88
0x3083	0x309f
0x30a0	0x30cf
0x3137	0x3142
0x34e3	0x34e8
0x3491	0x34a5
0x34a9	0x34b4
0x34e1	0x34e3
0x3879	0x3892
0x3895	0x38a5
0x38a8	0x38b3
0x38b6	0x38c6
0x3936	0x3946
0x91	0x9c
0x46d	0x475
0x498	0x4a0
0x4ba	0x4c2
0x4cf	0x4d7
0x4f1	0x4f9
0x513	0x51b
0x533	0x53b
0x553	0x55b
0x568	0x570
0x57d	0x585
0x592	0x59a
0x5a7	0x5af
0x5c7	0x5cf
0x5dc	0x5e4
0x5f1	0x5f9
0x606	0x60e
0x626	0x62e
0x63b	0x643
0x668	0x670
0x688	0x690
0x69d	0x6a5
0x6b2	0x6ba
0x6c7	0x6cf
0x6dc	0x6e4
0x6f1	0x6f9
0x713	0x71b
0x728	0x730
0x74a	0x752
0x75f	0x767
0x77f	0x787
0x794	0x79c
0x7a9	0x7b1
0x7be	0x7c6
0x7d3	0x7db
0x7e8	0x7f0
0x7fd	0x805
0x81d	0x825
0x832	0x83a
0x847	0x84f
0x85c	0x864
0x871	0x879
0x891	0x899
0x8a6	0x8ae
0x8bb	0x8c3
0x8db	0x8e3
0x908	0x910
0x91d	0x925
0x932	0x93a
0x952	0x95a
0x967	0x96f
0x97c	0x984
0x99c	0x9a4
0x9bc	0x9c4
0x9d1	0x9d9
0x9e6	0x9ee
0x9fb	0xa03
0xa10	0xa18
0xa25	0xa2d
0xa45	0xa4d
0xa5a	0xa62
0xa7a	0xa82
0xa8f	0xa97
0xac0	0xac8
0xad5	0xadd
0xaea	0xaf2
0xb0a	0xb12
0xb1f	0xb27
0xb3f	0xb47
0xb54	0xb5c
0xb74	0xb7c
0xb89	0xb91
0x2327	0x233a
0x3050	0x3068
0x2749	0x2753
0x275f	0x276d
0x345b	0x3463
0x29	0x34
0x34	0x3f
0x4a	0x55
0x55	0x60
0x6b	0x76
0x86	0x91
0xa7	0xb2
0xc2	0xcd
0xcd	0xd8
0xd8	0xe3
0xe3	0xee
0xee	0xf9
0x109	0x114
0x114	0x11f
0x11f	0x12a
0x12a	0x135
0x145	0x150
0x150	0x15b
0x15b	0x166
0x166	0x171
0x171	0x17c
0x17c	0x187
0x197	0x1a2
0x1a2	0x1ad
0x1ad	0x1b8
0x1b8	0x1c3
0x1d3	0x1de
0x1de	0x1e9
0x1e9	0x1f4
0x1f4	0x1ff
0x1ff	0x20a
0x21a	0x225
0x225	0x230
0x230	0x23b
0x24b	0x256
0x256	0x261
0x261	0x26c
0x26c	0x277
0x277	0x282
0x282	0x28d
0x28d	0x298
0x2a8	0x2b3
0x2b3	0x2be
0x2be	0x2c9
0x2c9	0x2d4
0x2e4	0x2ef
0x2ef	0x2fa
0x2fa	0x305
0x305	0x310
0x310	0x31b
0x32b	0x336
0x336	0x341
0x341	0x34c
0x34c	0x357
0x367	0x372
0x372	0x37d
0x37d	0x388
0x388	0x393
0x393	0x39e
0x39e	0x3a9
0x3b9	0x3c4
0x3c4	0x3cf
0x3cf	0x3da
0x3da	0x3e5
0x3f5	0x400
0x400	0x40b
0x40b	0x416
0x416	0x421
0x421	0x42c
0x43c	0x447
0x447	0x452
0x452	0x45d
0x1059	0x1063
0x10c1	0x10c9
0x2a50	0x2a5f
0x3068	0x3082
0xc000xbb6	0xc0b0xbb6
0xc000x1ebe	0xc0b0x1ebe
0xbe80xbb6	0xbfc0xbb6
0xbe80x1ebe	0xbfc0x1ebe
0x3ad7B0x51f	0x3ae5B0x51f
0x3ad7B0x612	0x3ae5B0x612
0x3ad7B0x87d	0x3ae5B0x87d
0x1d9cB0x8f6	0x1dacB0x8f6
0x1d53B0x8f6	0x1d9cB0x8f6
0x1dacB0x8f6	0x1dcaB0x8f6
0x3ad7B0x9a8	0x3ae5B0x9a8
0x3ad7B0xa66	0x3ae5B0xa66
0x3ad7B0xb60	0x3ae5B0xb60
0x3aefB0x12ae	0x3afdB0x12ae
0x3aefB0x1348	0x3afdB0x1348
0x3aefB0x13d6	0x3afdB0x13d6
0x3a25B0x1472	0x3a33B0x1472
0x3a36B0x1472	0x3a42B0x1472
0x3a25B0x151f	0x3a33B0x151f
0x3a36B0x151f	0x3a42B0x151f
0x3aefB0x15c3	0x3afdB0x15c3
0x3aefB0x34bd	0x3afdB0x34bd
0x4352B0x385e	0x4363B0x385e
0x4352B0x3869	0x4363B0x3869
0x4352B0x38ec	0x4363B0x38ec
0x4352B0x38f7	0x4363B0x38f7
