0x19f0	3	0x19d5	1
0x19f0	3	0x3499	1
0x19f0	3	0x3b72	1
0x2198	5	0x6fc	1
0x2198	5	0x1c11	1
0x2198	5	0x1d8d	1
0x2198	5	0x1f9b	1
0x2198	5	0x38df	1
0x21e9	65	0x2563	24
0x244b	5	0x2782	2
0x2563	24	0x4322	4
0x2731	4	0x9c9	1
0x2731	4	0x2651	1
0x2731	4	0x2dde	1
0x2731	4	0x3cb1	1
0x2bf6	18	0x32d1	2
0x2bf6	18	0x34b4	2
0x2bf6	18	0x4113	2
0x3100	3	0xf40	1
0x3100	3	0x1a26	1
0x3100	3	0x3151	1
0x3f50	74	0x4fc7	30
0x3f92	16	0x4eb6	4
0x4981	7	0x7915	2
0x4f47	29	0x773c	9
0x53be	12	0x566a	2
0x53be	12	0x5676	2
0x56b4	12	0x2ca4	2
0x56b4	12	0x4760	2
0x56b4	12	0x4773	2
0x56b4	12	0x4787	2
