0x44da
0x47f9
0x480b
0x4830
0x50bf
0x50e9
0x50f8
0x511d
0x5142
0x514f
0x5201
0x520e
0x52f4
0x5301
0x536e
0x537d
0x5399
0x53cf
0x53db
0x555a
0x566a
0x5676
