0x1a5a
0x3143
0x32b5
0x32d9
0x38be
0x39aa
0x3aa0
0x3ac1
0x3b37
0x3b8c
0x3db1
0x42c5
0x497a
0x4c23
0x4c62
0x4d2c
0x4d33
0x17980x79d
0x17980x1679
0x4c9bS0x15a5
0x4c9bS0x2c6e
0x4c9bS0x24bc
0x4c9bS0x24d2
0x4c9bS0x31e6
0x4c9bS0x3224
0x4c9bS0x2af6
0x4c9bS0x2b0c
0x4c9bS0x3967
0x4c9bS0x3254
0x4c9bS0x328d
0x4c9bS0x32da
0x4c9bS0x44c8
0x4d47S0x3a26
0x4d4eS0x3a26
0x4d55S0x3a26
0x4d5cS0x3a26
0x4d63S0x3a26
0x4d6aS0x3a26
0x4d71S0x3a26
0x4c9bS0x45ff
0x4d47S0x3fda
0x4d4eS0x3fda
0x4d55S0x3fda
0x4d5cS0x3fda
0x4d63S0x3fda
0x4d6aS0x3fda
0x4d71S0x3fda
0x4c9bS0x4933
0x4c9bS0x4bdc
