0xe8c
0x1679
0x1ecf
0x27d2
0x2a64
0x2c6e
0x2cc8
0x2d49
0x2e0b
0x2f73
0x3329
0x34a8
0x3522
0x3661
0x3967
0x39de
0x3ea5
0x3ee4
0x3f0f
0x43d4
0x43f7
0x45ff
0x4706
0x4933
0x4bdc
