0x2799	0x2832	0x27ac
0x259	0x892	0x29ac
0x271	0x95b	0x29df
0x37d	0xd67	0x2b18
0x3d1	0xedc	0x2b9b
0x54a	0x142a	0x2e0f
0x5f1	0x142a	0x5fa
0xeee	0xd67	0x2f5b
0x303f	0x95b	0x3014
0x2facB0x428	0x95b	0x106fB0x428
0x12edB0x4f0	0x1d14	0x2ff2B0x4f0
0x150dB0x57a	0x1d2a	0x3089B0x57a
0x15b2B0x610	0x95b	0x30abB0x610
0x1817B0x7d6B0x1d4	0x1d14	0x1820B0x7d6B0x1d4
0x183bB0x7d6B0x1d4	0x1d2a	0x1844B0x7d6B0x1d4
0xc31B0x2f2	0xedc	0xc44B0x2f2
0xc5eB0x2f2	0x892	0xc67B0x2f2
0x1c0fB0x2f2	0x24ab	0x1c25B0x2f2
0x24a3B0x1bf7B0x2f2	0x277f	0x3201B0x1bf7B0x2f2
0x240fB0x1bf1B0x2f2	0xd67	0x31d6B0x1bf1B0x2f2
0x25a9B0x1c64B0xeceB0x3aa	0x24ab	0x25c7B0x1c64B0xeceB0x3aa
