0xae	0x4c3e51f
0xc3	0xf0a1b9e
0xd6	0x454a2ab3
0xe9	0x514fcac7
0xfc	0x715018a6
0x104	0x8da5cb5b
0x122	0xbee0ef52
0x12a	0xd09ef241
0x14a	0xe8bf65c1
0x15d	0xf09a4016
0x170	0xf2fde38b
0x1a4d	0x00000000
