0xbc
0xc1
0xd1
0xe4
0xf7
0x10c
0x119
0x138
0x13d
0x158
0x16b
0x17e
0x18b
0x19c
0x1c2
0x228
0x264
0x26d
0x279
0x2cf
0x31f
0x35d
0x430
0x473
0x47c
0x4d7
0x4ff
0x534
0x556
0x592
0x62f
0x64b
0x654
0x660
0x6b3
0x6c4
0x75f
0x768
0x7c6
0x816
0x864
0x92a
0x963
0x9b3
0x9f1
0xaaa
0xb35
0xb46
0xb5f
0xb70
0xbae
0xcca
0xcfa
0xd4b
0xdc2
0xe1b
0xe21
0xe2d
0xe5b
0x1030
0x104e
0x107e
0x10b3
0x10ec
0x113e
0x1229
0x1239
0x1264
0x127b
0x12e9
0x1354
0x1377
0x13f2
