0xb0	0x2c1e816d
0xed	0x3ded33bc
0x12a	0x63b2a8ff
0x155	0x715018a6
0x16c	0x79b36943
0x197	0x8da5cb5b
0x1c2	0x9bf710d4
0x1ed	0xf2fde38b
0x216	0xf57ad989
0xccb	0x00000000
