0x0	0xd
0x3f	0x4a
0xd	0x1e
0x8a	0xcc9
0x59	0x65
0x99	0xa1
0x2ac	0x301
0x343	0x377
0x405	0x45a
0x494	0x4c9
0x50c	0x511
0x5c0	0x615
0x78e	0x7e3
0x81d	0x853
0xb0	0xb8
0xed	0xf5
0x12a	0x132
0x155	0x15d
0x16c	0x174
0x197	0x19f
0x1c2	0x1ca
0x1ed	0x1f5
0x216	0x21e
0x1e	0x29
0x29	0x34
0x34	0x3f
0x4a	0x55
0x65	0x70
0x70	0x7b
0x7b	0x86
0x287B0xa5	0x28fB0xa5
0x241B0xa5	0x287B0xa5
0x287B0xccb	0x28fB0xccb
0x241B0xccb	0x287B0xccb
0x9a3B0xbc	0x9b1B0xbc
0xc7eB0x98eB0x9b5B0xbc	0xc85B0x98eB0x9b5B0xbc
0x9a3B0xf9	0x9b1B0xf9
0xc7eB0x98eB0x9b5B0xf9	0xc85B0x98eB0x9b5B0xf9
0x9a3B0x1f9	0x9b1B0x1f9
0xc7eB0x98eB0x9b5B0x1f9	0xc85B0x98eB0x9b5B0x1f9
