0xb9	0x5188f996
0xe7	0x715018a6
0xef	0x8129fc1c
0xf7	0x8da5cb5b
0x11b	0x8f32d59b
0x137	0x96f27b29
0x15a	0x9c44d17a
0x186	0xa43e04d8
0x1a3	0xc4d66de8
0x1c9	0xe16c7d98
0x1e6	0xefa6bc43
0x215	0xf2fde38b
0xf62	0x00000000
