0x1d4	0x6fdde03
0x251	0x83c6323
0x26b	0x95ea7b3
0x2b8	0x18160ddd
0x2c0	0x23b872dd
0x303	0x313ce567
0x321	0x355274ea
0x329	0x39509351
0x362	0x3dd08c38
0x395	0x42966c68
0x3b4	0x449a52f8
0x3ed	0x454b0608
0x40a	0x47786d37
0x427	0x48cd4cb1
0x42f	0x4ec81af1
0x474	0x5aa6e675
0x4a5	0x70a08231
0x4d8	0x715018a6
0x4e0	0x8da5cb5b
0x4e8	0x95d89b41
0x4f0	0xa0712d68
0x50d	0xa457c2d7
0x546	0xa9059cbb
0x57f	0xb038abeb
0x587	0xc713aa94
0x5a4	0xcf456ae7
0x5df	0xdd62ed3e
0x61a	0xf2fde38b
0x64d	0xf35e4a6e
0x290b	0x00000000
