0xbbb	0xbbd
0xa4	0x1c9
0xef	0x29f
0xbbe	0x65
0xbc1	0x85
0xbc4	0x98
0xbc7	0xc3
0xbca	0xe3
0xf80x0	0x300
0xf80x1c9	0x300
0xf80x29f	0x300
0xf80xbbd	0x300
0x134B0x80	0x3af
0xf80x112B0x80	0x300
0xf80x206B0xde	0x300
0x16eB0x93	0x3af
0xf80x14cB0x93	0x300
