0x15c	0x7e922d
0x176	0x13af4035
0x19e	0x1f7b6d32
0x1a6	0x2da68e2d
0x1d2	0x33327171
0x270	0x3bf31254
0x278	0x5a604c52
0x29c	0x78533046
0x2f1	0x7a9e5e4b
0x317	0x7b103999
0x33b	0x87dc7c37
0x358	0x88525548
0x360	0x8da5cb5b
0x368	0x8e7b4531
0x399	0x9946b9a5
0x3b6	0x9d8e2177
0x3be	0xa1bef518
0x411	0xa22709e4
0x419	0xa4ca4aa7
0x44f	0xbf7e214f
0x457	0xc4d66de8
0x47d	0xc6a023e9
0x4a0	0xd065ef3c
0x4bd	0xe96defdd
0x1996	0x00000000
