0x0	0xd
0x76	0x8d
0xe0	0xf7
0x587B0x34	0x593B0x34
0x587B0xb0	0x593B0xb0
0x4fdB0x11	0x50dB0x11
0x4e0B0x510B0x11	0x4f4B0x510B0x11
0x4e0B0x51bB0x11	0x4f4B0x51bB0x11
0x274B0x10c	0x2c60x15fB0x10c
0x264B0x10c	0x274B0x10c
0x12dB0xa2	0x139B0xa2
0x13bB0xa2	0x142B0xa2
0x32fB0xa2	0x335B0xa2
0x3bcB0x1fcB0x142B0xa2	0x3c6B0x1fcB0x142B0xa2
0x43aB0x1fcB0x142B0xa2	0x455B0x1fcB0x142B0xa2
0x477B0x1fcB0x142B0xa2	0x47cB0x1fcB0x142B0xa2
0x5abB0x534B0x1fcB0x142B0xa2	0x5aeB0x534B0x1fcB0x142B0xa2
0x5c8B0x534B0x1fcB0x142B0xa2	0x5d2B0x534B0x1fcB0x142B0xa2
0x5aeB0x534B0x1fcB0x142B0xa2	0x5b8B0x534B0x1fcB0x142B0xa2
0x4a2B0x47cB0x1fcB0x142B0xa2	0x4acB0x47cB0x1fcB0x142B0xa2
0x4b3B0x47cB0x1fcB0x142B0xa2	0x4bcB0x47cB0x1fcB0x142B0xa2
0x5abB0x552B0x47cB0x1fcB0x142B0xa2	0x5aeB0x552B0x47cB0x1fcB0x142B0xa2
0x5c8B0x552B0x47cB0x1fcB0x142B0xa2	0x5d2B0x552B0x47cB0x1fcB0x142B0xa2
0x5aeB0x552B0x47cB0x1fcB0x142B0xa2	0x5b8B0x552B0x47cB0x1fcB0x142B0xa2
0x139B0xa2	0x13bB0xa2
0x1580x122B0xa2	0x15a0x122B0xa2
0x1580x5abB0x534B0x1fcB0x142B0xa2	0x15a0x5abB0x534B0x1fcB0x142B0xa2
0x1580x5abB0x552B0x47cB0x1fcB0x142B0xa2	0x15a0x5abB0x552B0x47cB0x1fcB0x142B0xa2
