0x2fb5	0x3c3e	0x2fbd
0x3372	0x26d1	0x4d56
0x22f	0x8e6	0x4338
0x29b	0xd7e	0x43ab
0x2fd	0xe61	0x43ff
0x31e	0xee2	0x4430
0x3d1	0x1310	0x451b
0x40a	0x136f	0x457f
0x472	0x1414	0x45b0
0x4d2	0x15b1	0x4625
0x15b1	0x8e6	0x15c2
0x517	0x1759	0x4677
0x5d7	0x1be1	0x473f
0x661	0x1c8c	0x47a3
0x748	0x2331	0x48c4
0x7a5	0x2416	0x4937
0xda2	0x2416	0xdb0
0x4a1e	0x1c8c	0x49f3
0xfb8	0x8e6	0xfc1
0x1328	0x136f	0x1336
0x1323	0x2331	0x4a8d
0x15c2	0x2416	0x15cd
0x4b24	0x1c8c	0x15db
0x163a	0xe61	0x1643
0x24d7	0x2f84	0x4bfa
0x2ffe	0xd7e	0x3008
0x2fbd	0x3d4f	0x2fc8
0x3025	0x3fe5	0x302f
0x301f	0x3388	0x3025
0x3388	0x1c8c	0x4d82
0x322b	0xee2	0x4cff
0x4cdb	0x3473	0x323c
0x3348	0x3505	0x3356
0x3356	0x35f3	0x3360
0x3360	0x3675	0x336a
0xdb8	0x2416	0xdc2
0xdcc	0x8e6	0xdd5
0xde0	0x1be1	0xde9
0x133e	0x136f	0x1348
0x1352	0xe61	0x135b
0x1c74	0x2f84	0x1c81
0x7baB0x1e5	0x2497	0x4968B0x1e5
0xf75B0x33f	0x1be1	0xf81B0x33f
0x1d6cB0x685	0x2497	0x4b6eB0x685
0xf75B0xfa4	0x1be1	0xf81B0xfa4
0xf75B0x1626	0x1be1	0xf81B0x1626
0xf75B0x2fa2	0x1be1	0xf81B0x2fa2
0x80cB0x20b	0x136f	0x815B0x20b
0xf75B0x7e5B0x20b	0x1be1	0xf81B0x7e5B0x20b
0xd72B0x27a	0x2759	0x49d1B0x27a
0x1229B0x384	0x2759	0x1232B0x384
0x123bB0x384	0x291c	0x1269B0x384
0x1269B0x384	0x2bbc	0x1292B0x384
0x1292B0x384	0x2d6b	0x129bB0x384
0x129bB0x384	0x2dcc	0x12a4B0x384
0x1f59B0x6d9	0xee2	0x1f66B0x6d9
0x1f74B0x6d9	0x15b1	0x1f82B0x6d9
0x1fa9B0x6d9	0x3388	0x1fafB0x6d9
0x4b92B0x6d9	0x3473	0x1fc8B0x6d9
0x213eB0x6d9	0x3505	0x214cB0x6d9
0x214cB0x6d9	0x35f3	0x2156B0x6d9
0x2156B0x6d9	0x3675	0x2160B0x6d9
0xf75B0x1ebaB0x6d9	0x1be1	0xf81B0x1ebaB0x6d9
0x21a3B0x700	0x1be1	0x21acB0x700
0x21b5B0x700	0x2416	0x21beB0x700
0xf75B0x2187B0x700	0x1be1	0xf81B0x2187B0x700
0x2287B0x724	0x2416	0x2290B0x724
0x229aB0x724	0x8e6	0x22a3B0x724
0xf75B0x2268B0x724	0x1be1	0xf81B0x2268B0x724
0x23e8B0x76c	0x2dcc	0x4bb6B0x76c
0x240dB0x78d	0x2d6b	0x4bd8B0x78d
0x3f44B0x2ff1	0x2416	0x5053B0x2ff1
0x3e84B0x2ff1	0x8e6	0x4f7eB0x2ff1
0x3e94B0x2ff1	0x2416	0x4fa9B0x2ff1
0x3ea4B0x2ff1	0xe61	0x4fd4B0x2ff1
0x3eb4B0x2ff1	0x136f	0x4fffB0x2ff1
0x3efcB0x2ff1	0x291c	0x3f21B0x2ff1
0x3f21B0x2ff1	0x2bbc	0x3f3fB0x2ff1
0x3fa4B0x2ff1	0x136f	0x50fdB0x2ff1
0x3f77B0x2ff1	0x8e6	0x507eB0x2ff1
0x5053B0x2ff1	0x4171	0x3f77B0x2ff1
0x3f8aB0x2ff1	0x1be1	0x50a9B0x2ff1
0x507eB0x2ff1	0x4171	0x3f8aB0x2ff1
0x3f9dB0x2ff1	0x291c	0x3fa4B0x2ff1
0x50a9B0x2ff1	0x4171	0x3f9dB0x2ff1
0x3fc1B0x2ff1	0xe61	0x5128B0x2ff1
0x50fdB0x2ff1	0x4171	0x3fc1B0x2ff1
0x3fd4B0x2ff1	0x2bbc	0x50d4B0x2ff1
0x5128B0x2ff1	0x4171	0x3fd4B0x2ff1
0x3e62B0x2ff1	0x1be1	0x4f53B0x2ff1
0x9b4B0x262	0x2602	0x9bdB0x262
0x9bdB0x262	0x1759	0x9c8B0x262
0xd0bB0x262	0x26d1	0x49aeB0x262
0x2543B0x262	0x27f1	0x2554B0x262
0x2567B0x262	0x1414	0x2570B0x262
0x257aB0x262	0x2602	0x2583B0x262
0x39cfB0x25a4B0x262	0xee2	0x4e19B0x25a4B0x262
0x39ecB0x25a4B0x262	0x4051	0x4e44B0x25a4B0x262
0x4df5B0x25a4B0x262	0x3473	0x39ecB0x25a4B0x262
0xe19B0x2d3	0x27f1	0xe2aB0x2d3
0xf75B0xe3dB0x2d3	0x1be1	0xf81B0xe3dB0x2d3
0x2869B0xe51B0x2d3	0x1310	0x2873B0xe51B0x2d3
0x3abfB0xe51B0x2d3	0x4051	0x3adbB0xe51B0x2d3
0x3adbB0xe51B0x2d3	0xee2	0x4eb7B0xe51B0x2d3
0x4e93B0xe51B0x2d3	0x3473	0x3aecB0xe51B0x2d3
0x3a0eB0x2884B0xe51B0x2d3	0x2331	0x4e68B0x2884B0xe51B0x2d3
0xf75B0x156cB0x48a	0x1be1	0xf81B0x156cB0x48a
0x3c1aB0x2f29B0x1582B0x48a	0x4051	0x3c38B0x2f29B0x1582B0x48a
