0x84	0x3659cfe6
0xb7	0x4f1ef286
0x137	0x5c60da1b
0x168	0x8f283970
0x19b	0xcf7a1d77
0x25a	0xd1f57894
0x310	0xf851a440
0xc67	0x00000000
