0xc65	0xc67
0x143	0x426
0x31c	0x6e3
0xc71	0x168
0xc74	0x19b
0xc77	0x25a
0xc7a	0x310
0xc68	0x84
0xc6b	0xb7
0xc6e	0x137
0x6200x25a	0x840
0x3250x0	0x70e
0x3250x84	0x70e
0x3250xb7	0x70e
0x3250x168	0x70e
0x3250x426	0x70e
0x3250x6e3	0x70e
0x7dcB0x361	0x840
0x7dcB0x39b	0x840
0x6200x5a3B0x53a	0x840
