0xfda	setDelegate(bytes32,address)
0x1265	claimRewards()
0x17d1	transfer(address,uint256)
0x1876	initializeAndAddLiquidity(address,address,address,address,address,uint256)
0x1ffd	approve(address,uint256)
0x21df	removeLiquidityReturn(uint256,uint32,uint256)
0x24a0	pendingRewards(address)
0x26bd	transferFrom(address,address,uint256)
0x27db	claimAndRestake(address)
0x2a8f	addressOf(bytes32)
0x2bb7	convertByPath(address[],uint256,uint256,address,address,uint256)
0x2cee	transfer(address,uint256)
0x2eb9	balanceOf(address)
0x3287	addressOf(bytes32)
0x335e	convertByPath(address[],uint256,uint256,address,address,uint256)
0x3d3c	transfer(address,uint256)
0x3dad	claimRewardsAndRemoveLiquidity()
0x41b5	claimBalance()
0x39650x3915	stake(uint256)
0x14010x139d	addressOf(bytes32)
0x14010x3011	addressOf(bytes32)
0x14010x19f0S0x71b	addressOf(bytes32)
0x40b0S0x2ab6	allowance(address,address)
0x4134S0x2ab6	approve(address,uint256)
0x39650x46cbS0x3cc4	unstake(uint256)
