0x8b	0x3659cfe6
0xbe	0x4f1ef286
0x13e	0x5c60da1b
0x16f	0x8f283970
0x1a2	0xcf7a1d77
0x261	0xd1f57894
0x317	0xf851a440
0xbe3	0x00000000
