0x1b7	0x00000000
0x1fd	0x2befd24
0x226	0x7ea5477
0x2f7	0x9f6442c
0x31e	0xc340a24
0x34f	0x128a8b05
0x364	0x1edfe3da
0x379	0x2acada4d
0x3de	0x2f4350c2
0x3f3	0x31e19cfa
0x408	0x40c10f19
0x441	0x52d38e5d
0x456	0x53ca9f24
0x46b	0x570d8e1d
0x480	0x5d36b190
0x495	0x5f515226
0x4c8	0x67bd7ba3
0x4f2	0x796be57b
0x507	0x9be918e6
0x53a	0x9fa1826e
0x54f	0xa0aead4d
0x564	0xabaa9916
0x579	0xaf14052c
0x58e	0xb888879e
0x5a3	0xc7af3352
0x5b8	0xd38bfff4
0x5eb	0xd4c3eea0
0x600	0xdb006a75
0x62a	0xfc0cfeee
