0x1a	0xec
0x25	0x8a
0x30	0x64
0x92	0xc6
0xf4	0x159
0xff	0x133
0x161	0x195
0x1f0	0x1f8
0x201	0x209
0x20b	0x3332
0x20e	0x65d
0x22a	0x232
0x241	0x249
0x25c	0x264
0x26e	0x276
0x290	0x298
0x2ae	0x2b6
0x2c0	0x2c8
0x2e2	0x2ea
0x2f1	0x66d
0x2fb	0x303
0x305	0x3386
0x308	0x9c6
0x322	0x32a
0x32c	0x33b7
0x353	0x35b
0x35d	0x33f2
0x360	0x9db
0x368	0x370
0x372	0x342d
0x375	0x9ea
0x37d	0x385
0x387	0x38e0x379
0x3e2	0x3ea
0x3f7	0x3ff
0x401	0x347f
0x404	0xb73
0x40c	0x414
0x416	0x34b0
0x423	0x42b
0x43d	0xb79
0x445	0x44d
0x44f	0x34d1
0x452	0xe66
0x45a	0x462
0x464	0x3502
0x467	0xe6c
0x46f	0x477
0x479	0x3535
0x47c	0xe7c
0x484	0x48c
0x48e	0x3570
0x499	0x4a1
0x4a3	0x3591
0x4b0	0x4b8
0x4c4	0xeeb
0x4cc	0x4d4
0x4e3	0x4eb
0x4ee	0xefe
0x4f6	0x4fe
0x500	0x35c2
0x503	0xf09
0x50b	0x513
0x515	0x35fd
0x522	0x52a
0x536	0xf18
0x53e	0x546
0x548	0x3630
0x54b	0xf36
0x553	0x55b
0x55d	0x3661
0x568	0x570
0x572	0x3692
0x57d	0x585
0x587	0x36b3
0x592	0x59a
0x59c	0x36e4
0x59f	0xfac
0x5a7	0x5af
0x5b1	0x371f
0x5bc	0x5c4
0x5c6	0x3752
0x5d3	0x5db
0x5e7	0xfde
0x5ef	0x5f7
0x5f9	0x3773
0x604	0x60c
0x61b	0x623
0x626	0x1094
0x62e	0x636
0x638	0x37c5
0x645	0x64d
0x659	0x10cc
0x67c	0x6be
0x6c2	0x712
0xb88	0xbca
0xbe7	0xc30
0xc35	0xc85
0xc9a	0xca2
0xc9e	0x1b700x408
0xcdb	0xcee
0xcea	0xcd6
0xcfe	0xd1b
0xd32	0xd3a
0xd41	0xd4e
0xd5c	0xd64
0xd71	0xd7b
0xd7e	0xd86
0xd8b	0xd9e
0xda3	0xdc8
0xda6	0xdb6
0xdd3	0xde6
0xde8	0xdf7
0xdec	0xdf5
0xdf9	0xe13
0xe5e	0x9590x408
0xeee	0xef60x495
0xfdf	0xfe6
0xfe7	0x1037
0x1038	0x1040
0x103c	0x26ef
0x104b	0x1052
0x109c	0x10af
0x10b1	0x10c0
0x10b5	0x10be
0x10c1	0x39040x600
0x10c5	0x177a0x600
0x10cd	0x10d4
0x10d5	0x1125
0x114c	0x1153
0x1169	0x117c
0x138c	0x13940x1358
0x141c	0x143d0x1412
0x14ae	0x14f0
0x1536	0x153e
0x1545	0x1552
0x1560	0x1568
0x156b	0x1576
0x1572	0xef90x149c
0x15b3	0x15bb
0x15c2	0x15cf
0x15dd	0x15e5
0x15ec	0x15f3
0x15fa	0x394c
0x1643	0x164b
0x1652	0x165f
0x166d	0x1675
0x1685	0x3972
0x16ce	0x16d6
0x16dd	0x16ea
0x272f	0x273a0x272b
0x278e	0x3b860x278b
0x27c9	0x2e730x278b
0x2baa	0x3c1d
0x2be5	0x3004
0x2c29	0x3c6a
0x2c36	0x2c3b
0x2c58	0x2c65
0x2c60	0x7b40x2c1e
0x2ca9	0x2cb1
0x2cb8	0x2cc5
0x2cd3	0x2cdb
0x2ce2	0x2cfe
0x2ce6	0x2cf9
0x2d05	0x2c22
0x2d14	0x3c8d
0x2d18	0x2d41
0x2d22	0x2d27
0x2d3d	0x305e0x2d09
0x2d49	0x2d0d
0x2f41	0x3cfd
0x300c	0x3056
0x3043	0x2ec40x2ba7
0x3052	0x2eac0x2ba7
0x3d78	0x3db2
0x3d7a	0x3dfd
0x3d7c	0x3e00
0x3d7e	0x3e03
0x3d80	0x3e06
0x3d82	0x3df4
0x3d84	0x3df7
0x3d86	0x3dfa
0x3d88	0x3de8
0x3d8a	0x3deb
0x3d8c	0x3dee
0x3d8e	0x3df1
0x3d90	0x3ddf
0x3d92	0x3de2
0x3d94	0x3de5
0x3d96	0x3dd3
0x3d98	0x3dd6
0x3d9a	0x3dd9
0x3d9c	0x3ddc
0x3d9e	0x3dca
0x3da0	0x3dcd
0x3da2	0x3dd0
0x3da4	0x3dbe
0x3da6	0x3dc1
0x3da8	0x3dc4
0x3daa	0x3dc7
0x3dac	0x3db5
0x3dae	0x3db8
0x3db0	0x3dbb
0x11490x3a65	0x278b0x1149
0x11490x3a3a	0x278b0x1149
0x2d090x31dc	0x30630x2d09
0x305e0x31dc	0x30630x305e
0x2d090x31bd	0x31d00x2d09
0x305e0x31bd	0x31d00x305e
0x2d090x31b9	0x31d50x2d09
0x305e0x31b9	0x31d50x305e
0x2d090x31aa	0x31b20x2d09
0x305e0x31aa	0x31b20x305e
0x2d090x318f	0x319c0x2d09
0x305e0x318f	0x319c0x305e
0x2d090x3180	0x31880x2d09
0x305e0x3180	0x31880x305e
0x2d090x3135	0x313a0x2d09
0x305e0x3135	0x313a0x305e
0x2d090x3119	0x31d70x2d09
0x305e0x3119	0x31d70x305e
0x2d090x310d	0x31150x2d09
0x305e0x310d	0x31150x305e
0x2d090x30f2	0x30ff0x2d09
0x305e0x30f2	0x30ff0x305e
0x2d090x30e3	0x30eb0x2d09
0x305e0x30e3	0x30eb0x305e
0x2d090x3098	0x309d0x2d09
0x305e0x3098	0x309d0x305e
0x2d090x307a	0x7b40x2d09
0x305e0x307a	0x7b40x305e
0x2d090x3070	0x307f0x2d09
0x305e0x3070	0x307f0x305e
0x2d090x306a	0x3d4b0x2d09
0x305e0x306a	0x3d4b0x305e
0x6000x2ff6	0x2be90x600
0x6000x2fd8	0x2fe00x600
0x6000x2fc4	0x2fd70x600
0x6000x2fc1	0x2fec0x600
0x6000x2fbc	0x2fec0x600
0x6000x2fa7	0x2faf0x600
0x6000x2f93	0x2fa60x600
0x6000x2f90	0x2fbb0x600
0x6000x2f8c	0x2fc00x600
0x6000x2f87	0x2ff80x600
0x6000x2f7c	0x2f840x600
0x6000x2f75	0x3d240x600
0x6000x2f6c	0x2f790x600
0x11490x2f06	0x2f0b0x1149
0x278b0x2f06	0x2f0b0x278b
0x11490x2ed4	0x2ef10x1149
0x278b0x2ed4	0x2ef10x278b
0x2ba70x2ed4	0x2ef10x2ba7
0x11490x2ec0	0x2eac0x1149
0x278b0x2ec0	0x2eac0x278b
0x2ba70x2ec0	0x2eac0x2ba7
0x11490x2eb1	0x2ec40x1149
