0x9f0	0xa48
0xf3c	0xf3c
0xfbb	0xfc5
0x149c	0x16ea
0x1755	0x1755
0x21ce	0x26e8
0x2713	0x2725
0x2f15	0x2f45
0x9cc	0x3836
0xe8b	0x387b
0xf42	0x389c
0xf4a	0x38bd
0x108a	0x38e0
0x149c	0x394c
0x149c	0x3972
0x1cc6	0x39bd
0x21ce	0x3a86
0x21ce	0x3b1e
0x21ce	0x3b3f
0x27cd	0x3bac
0x27cd	0x3bd1
0x2ba7	0x3c1d
0x2c1e	0x3c6a
0x2d09	0x3c8d
0x2d4d	0x3cb0
0x2d62	0x3cd6
0x2f15	0x3cfd
0x31e0	0x3d71
0x1358	0xef90x1358
0x149c	0xef90x149c
0x1412	0x14680x1412
0x272b	0x14680x272b
0x146e	0x14930x146e
0x1f1e	0x21c10x1f1e
0x2985	0x29d70x2985
0xa52	0x385a0xa52
0x1149	0x39260x1149
0x16f5	0x39980x16f5
0x1d71	0x39df0x1d71
0x272b	0x3b600x272b
0x278b	0x3b860x278b
0x2be9	0x3c430x2be9
0x305e	0x3d4b0x305e
