0xc07	balanceOf(address)
0x13be	votingBalanceOfNow(address)
0x1511	cancelTransaction(address,uint256,string,bytes,uint256)
0x2603	executeTransaction(address,uint256,string,bytes,uint256)
0x2908	queuedTransactions(bytes32)
0x29af	queueTransaction(address,uint256,string,bytes,uint256)
0x27660x2676	votingBalanceOf(address,uint256)
0x12bd0x75e	delay()
0x12bd0x1188	GRACE_PERIOD()
0x1a7aS0x6cb	acceptAdmin()
0xa28S0x3bd	executeTransaction(address,uint256,string,bytes,uint256)
0x188bS0x61b	queueTransaction(address,uint256,string,bytes,uint256)
0x27660xa66S0x3dd	votingBalanceOf(address,uint256)
0x27660x16a5S0x59c	votingBalanceOf(address,uint256)
0x1e6cS0x759	_setProposalVals(address,uint256)
