0x1373	0xe9e
0x1364	0x384
0x1367	0x3ba
0x136a	0x3e6
0x136d	0x414
0x1370	0x41c
0x1355	0x29f
0x1358	0x2a7
0x135b	0x2cb
0x135e	0x2d3
0x1361	0x2ff
0x1346	0x233
0x1349	0x23b
0x134c	0x243
0x134f	0x24d
0x1352	0x279
0x133a	0x126
0x133d	0x1a3
0x1340	0x1e3
0x1343	0x1fd
0x126	0x442
0x2cb	0x992
