0x21c
0x26f
0x286
0x405
0x437
0x4a1
0x8b6
0xa1e
0x1139
0x146a
0x1542
0x15b3
0x15bf
0x15c4
0x15e3
0x1622
0x1631
0x1658
0x16ab
0x16b0
0x175d
0x176a
0x177f
0x1dd5
0x1dda
0x1e0c
0x1eaa
0x1ed2
0x1f50
0x1fa3
0x1fb7
0x2137
0x218f
0x219c
0x21a9
0x2313
0x233a
0x26f2
0x2769
0x2775
0x2798
0x27db
0x27ee
0x2a15
0x2a39
0x2a7d
0x2a91
0x2abf
0x2ad5
0x2bdb
0x2c52
0x2c75
0x2cb8
0x2ccb
0x2f0d
0x2f20
0x2f4c
0x3094
0x30d7
0x310c
0x32a8
0x32eb
0x3317
0x342f
0x36c9
