0x98	0x572b0cc
0xa2	0x2e105d4b
0xfc	0x3c99aff8
0x136	0x55f21eb7
0x1ac	0xa694fc3a
0x1da	0xa69df4b5
0x1e4	0xb792e6ec
0x232	0xcd4134d0
0x23c	0xd4f50f98
0x26f7	0x00000000
