0xd1d
0xd23
0xd58
0xd77
0xd93
0xdae
0xdde
0xdfd
0xe19
0xf21
0x1df9
0x1dff
0x1e34
0x1e53
0x1e6f
0x1e8a
0x1eba
0x1ed9
0x1ef5
0x1fd0
0x2019
0x2102
0x2141
0x291d
0xefc0x3cb
0xefc0x1b9e
