0x6b3	admin()
0x760	_acceptImplementation()
0x9bf	transferFrom(address,address,uint256)
0xb38	totalDeposits()
0xbcf	getTotalMintedAmount()
0xc57	calculate(uint256,uint256)
0xce1	allocate(address,uint256)
0x1054	superior()
0x1122	property()
0x11f0	asset()
0x1575	totalDeposits()
0x15f6	getTotalMintedAmount()
0x167e	calculate(uint256,uint256)
0x18a3	transferFrom(address,address,uint256)
0x1c1d	totalDeposits()
0x1cab	getTotalMintedAmount()
0x1d33	calculate(uint256,uint256)
0x1dbd	allocate(address,uint256)
0x237b	balanceOf(address)
0x2452	transfer(address,uint256)
0x2673	getMintedAmount(string)
0x2728	getTotalMintedAmount()
