0x4c5	0x4ce
0x505	0x5d6
0x7af	0x7d9
0x17a	0xa63
0x3c4	0xaef
0x3fa	0xb15
0x678	0xb36
0x6c8	0xb5c
0x3f0	0x3f50x3f0
0x6b1	0x3f50x6b1
0x138	0xa1f0x138
0x265	0xa1f0x265
0x1ff	0xaab0x1ff
0x37e	0xaab0x37e
