0x52d	balanceOf(address)
0x1531	allowance(address,address)
0x9ff0xa49S0x2af	depositTo(uint16,uint256,address)
0x9ff0x8f2S0x291	depositTo(uint16,uint256,address)
0x19d8S0x18e7S0x174b0x1392	transfer(address,uint256)
0x19d8S0x18e7S0x174b0x13beS0x15d3	approve(address,uint256)
