0xc2	0x00000000
0xcc	0x5f63c8a
0x112	0x34140748
0x145	0x4555d5c9
0x16c	0x5c60da1b
0x181	0x608fa3c1
0x1dc	0x638c7e17
0x1f1	0x64a7ce99
0x206	0x715018a6
0x21b	0x8da5cb5b
0x230	0x8f32d59b
0x259	0xe7a1c1c0
0x292	0xf2fde38b
0x2c5	0xf4954387
