0xcce	0xc2
0xcec	0x230
0xcef	0x259
0xcf2	0x292
0xcf5	0x2c5
0xce3	0x1f1
0xce6	0x206
0xce9	0x21b
0xcd1	0xcc
0xcd4	0x112
0xcd7	0x145
0xcda	0x16c
0xcdd	0x181
0xce0	0x1dc
