0x7d	0x00000000
0x87	0x3659cfe6
0xd8	0x4f1ef286
0x171	0x5c60da1b
0x1c8	0x8f283970
0x219	0xcf7a1d77
0x314	0xd1f57894
0x3ef	0xf851a440
