0x3f
0x106
0x162
0x191
0x1a8
0x218
0x23b
0x24f
0x25e
0x27d
0x2dc
0x360
0x36e
0x37c
0x3db
0x454
0x480
0x4ac
0x61a
0x61d
0x620
0x623
0x626
