0x121c	0x12d6
0xb86	0x1b3a
0xb86	0x1b61
0x1141	0x1bd4
0x1141	0x1bfb
0xb86	0xc0b0xb86
0x1141	0xc0b0x1141
0xc13	0xc2c0xc13
