0x271	0x8a0	0x278	0x278
0x27f	0x8a0	0x278	0x278
0x293	0x980	0x29c	0x29c
0x29c	0x25bf	0x2a9	0x2a9
0x2be	0x248e	0x2cd	0x2d2
0x2be	0x248e	0x2d2	0x2d2
0x33c	0x2416	0x278	0x278
0x33c	0x2416	0x34b	0x278
0x35c	0x2416	0x2f3	0x2f3
0x35c	0x2416	0x36b	0x2f3
0x389	0x24e8	0x2d2	0x2d2
0x389	0x24e8	0x398	0x2d2
0x3a9	0x2416	0x2f3	0x2f3
0x3a9	0x2416	0x3b8	0x2f3
0x3fb	0x2416	0x278	0x278
0x3fb	0x2416	0x40a	0x278
0x41b	0x248e	0x2d2	0x2d2
0x41b	0x248e	0x42a	0x2d2
0x43b	0x2542	0x278	0x278
0x43b	0x2542	0x44a	0x278
0x45b	0x2416	0x278	0x278
0x45b	0x2416	0x46a	0x278
0x47b	0x2416	0x2d2	0x2d2
0x47b	0x2416	0x48a	0x2d2
0x4ab	0x25a6	0x4ba	0x4bf
0x4ab	0x25a6	0x4bf	0x4bf
0x543	0x2416	0x2d2	0x2d2
0x543	0x2416	0x552	0x2d2
0x573	0xf8f	0x278	0x278
0x59e	0x2416	0x2f3	0x2f3
0x59e	0x2416	0x5ad	0x2f3
0x5d4	0x1031	0x278	0x278
0x627	0x2416	0x2f3	0x2f3
0x627	0x2416	0x636	0x2f3
0x647	0x10ca	0x29c	0x29c
0x65c	0x25a6	0x278	0x278
0x65c	0x25a6	0x66b	0x278
0x67c	0x248e	0x2d2	0x2d2
0x67c	0x248e	0x68b	0x2d2
0x69c	0x2416	0x2f3	0x2f3
0x69c	0x2416	0x6ab	0x2f3
0x6bc	0x248e	0x2d2	0x2d2
0x6bc	0x248e	0x6cb	0x2d2
0x6dc	0x2416	0x2f3	0x2f3
0x6dc	0x2416	0x6eb	0x2f3
0x712	0x2450	0x2d2	0x2d2
0x712	0x2450	0x721	0x2d2
0x750	0x24ba	0x2f3	0x2f3
0x750	0x24ba	0x75f	0x2f3
0x796	0x248e	0x278	0x278
0x796	0x248e	0x7a5	0x278
0x7cb	0x25a6	0x278	0x278
0x7cb	0x25a6	0x7da	0x278
0x7eb	0x2416	0x2d2	0x2d2
0x7eb	0x2416	0x7fa	0x2d2
0x81b	0x2416	0x278	0x278
0x81b	0x2416	0x82a	0x278
0x851	0x2416	0x4bf	0x4bf
0x851	0x2416	0x860	0x4bf
0x871	0x25a6	0x880	0x885
0x871	0x25a6	0x885	0x885
0x8cd	0x2614	0x8e4	0x8e4
0x909	0x914	0x935	0x935
0x914	0x19d3	0x922	0x922
0x922	0x26a2	0x92c	0x92c
0x935	0x1a59	0x97a	0x97a
0x980	0x2739	0x98f	0x98f
0x98f	0x2739	0x9bb	0x9bb
0xa12	0x1ab8	0xa1f	0xa1f
0xa56	0x2614	0x8e4	0x8e4
0xa98	0x1bdc	0xaa5	0xaa5
0xaa5	0x1c38	0xaf2	0xaf7
0xaa5	0x1c38	0xaf7	0xaf7
0xb01	0x19d3	0xb43	0xb53
0xb01	0x19d3	0xb48	0xb53
0xb01	0x19d3	0xb4e	0xb53
0xb01	0x19d3	0xb53	0xb53
0xb53	0x26a2	0xa23	0xa23
0xb8a	0x2614	0x8e4	0x8e4
0xbc7	0x1cd3	0xbf5	0xbf5
0xc9e	0x1a59	0xa1f	0xa1f
0xc9e	0x1a59	0xaf2	0xa1f
0xd27	0x1d32	0xd31	0xd31
0xd8b	0x2614	0x8e4	0x8e4
0xe14	0x1d42	0xa95	0xa95
