0x0	__function_selector__
0x237	()
0x237	fallback()
0x23c	name()
0x23c	symbol()
0x2c6	approve(address,uint256)
0x2fe	convertCarbonDollar(address,uint256)
0x324	totalSupply()
0x34b	listToken(address)
0x36c	getDefaultFee()
0x381	transferFrom(address,address,uint256)
0x3ab	decimals()
0x3d6	isWhitelisted(address)
0x3f7	unpause()
0x40c	mint(address,uint256)
0x430	burn(uint256)
0x448	claimOwnership()
0x45d	blacklisted()
0x472	paused()
0x487	decreaseApproval(address,uint256)
0x4ab	approveBlacklistedAddressSpender(address)
0x4cc	replayNonce(address)
0x4ed	removeFee(address)
0x50e	balanceOf(address)
0x52f	metaIncreaseApproval(address,uint256,bytes,uint256,uint256)
0x5a1	pause()
0x5b6	computeFeeRate(address)
0x5d7	isMethodEnabled()
0x5ec	owner()
0x61d	tokenStorage_CD()
0x632	metaApproveHash(address,uint256,uint256,uint256)
0x65c	unlock()
0x671	transfer(address,uint256)
0x695	unlistToken(address)
0x6b6	tokenStorage()
0x6cb	getFee(address)
0x6ec	burnCarbonDollar(address,uint256)
0x710	metaTransferHash(address,uint256,uint256,uint256)
0x73a	destroyBlacklistedTokens(address,uint256)
0x75e	setDefaultFee(uint256)
0x776	setRegulator(address)
0x797	increaseApproval(address,uint256)
0x7bb	metaBurnHash(address,uint256,uint256,uint256)
0x7e5	allowance(address,address)
0x80c	regulator()
0x821	metaTransfer(address,uint256,bytes,uint256,uint256)
0x893	pendingOwner()
0x8a8	setFee(address,uint256)
0x8cc	metaBurnCarbonDollar(address,uint256,bytes,uint256,uint256)
0x93e	transferOwnership(address)
0x95f	releaseCarbonDollar(uint256)
0x977	lock()
0x10d3	0x10d3
0x1163	0x1163
0x1217	0x1217
0x162d	0x162d
0x1746	0x1746
0x17f0	0x17f0
0x1f5e	0x1f5e
0x206a	0x206a
0x20d5	0x20d5
0x24f9	0x24f9
0x2569	0x2569
0x286a	0x286a
0x2912	0x2912
0x297f	0x297f
0x2a67	0x2a67
0x2e6a	0x2e6a
0x3204	0x3204
0x32b1	0x32b1
0x3366	0x3366
0x3705	0x3705
0x3d6e	0x3d6e
0x3d80	0x3d80
0x3fa0	0x3fa0
0x4176	0x4176
0x44ed	0x44ed
0x465c	0x465c
0x473f	0x473f
