0x15c	0x2ae74a
0x180	0xe9ed68b
0x188	0x201ae9db
0x1b0	0x2a2085f3
0x1ca	0x44616718
0x1d2	0x485cc955
0x200	0x51dd2125
0x21d	0x60558c0f
0x225	0x6ffc215c
0x251	0x73252494
0x259	0x8129fc1c
0x261	0xab0254c2
0x287	0xad5186f6
0x28f	0xb8a0ca0e
0x297	0xcfc16254
0x2bd	0xd017f483
0x2f7	0xd1158d94
0x2ff	0xd16543f6
0x307	0xd46491df
0x30f	0xd949d2d0
0x32c	0xe26cd9ca
0x334	0xe863cbb6
0x351	0xea63d651
0x377	0xf4e0d9ac
0x2038	0x00000000
