0x8b	0xc870f91
0xbc	0x3659cfe6
0xef	0x3e47158c
0x104	0x4f1ef286
0x184	0x5c60da1b
0x199	0x8f283970
0x1cc	0xf851a440
0xb9c	0x00000000
