0xc1
0x162
0x17e
0x1ce
0x1ec
0x371
0x378
0x394
0x3a0
0x3de
0x3ff
0x404
0x4ea
0x521
0x532
0x5eb
0x615
0x653
0x80a
0x847
0x876
0xa04
0xa0e
0xa8c
0xa99
0xabf
0xcb8
0xccc
