0xb0b	0xb15
0xd43	0x11d3
0x14d9	0x156d
0x18f3	0x1a31
0x1a35	0x1a3f
0x2038	0x2038
0x25c5	0x26d2
0x26d5	0x2844
0x2864	0x29ee
0x29f7	0x2c12
0x2c46	0x2cf9
0x2d02	0x2d79
0x2d7d	0x2fc2
0x2ff7	0x3077
0x307d	0x30bf
0x30c7	0x3109
0x2069	0x23ae0x2069
0x23b2	0x24ba0x23b2
0x24c3	0x258f0x24c3
