0x340a	0x332e
0x33f8	0x614
0x33fb	0x61e
0x33fe	0x640
0x3401	0x66e
0x3404	0x6b2
0x3407	0x734
0x33e9	0x3e4
0x33ec	0x3ee
0x33ef	0x446
0x33f2	0x574
0x33f5	0x5b8
0x33da	0x2c6
0x33dd	0x310
0x33e0	0x31a
0x33e3	0x364
0x33e6	0x3c6
0x33cb	0x13c
0x33ce	0x146
0x33d1	0x190
0x33d4	0x1f4
0x33d7	0x278
0x2804B0x157b	0x2ff7
0x2836B0x157b	0x307d
0x2cb9B0x1dc6	0x2ff7
0x2cebB0x1dc6	0x307d
0x191aB0x614	0x29f7
0x19d7B0x614	0x29f7
0x2d2eB0x22460x2069B0xb94	0x29f7
0x2d02B0x22460x2069B0xb94	0x29f7
0x2d2eB0x22460x2864B0x16e3	0x29f7
0x2d02B0x22460x2864B0x16e3	0x29f7
