0x0	0xc
0x1a	0x2b
0x4bc	0x510
0xa4a	0xa56
0xc80	0xc8c
0x1476	0x1485
0x1968	0x197d
0x2302	0x2308
0x6490x142e	0x6540x142e
0x6490x1920	0x6540x1920
0x10	0x1a
0xf9	0x105
0x97	0xa3
0x71	0x7d
0xd3	0xdf
0x166	0x172
0x140	0x14c
0x1a2	0x1ae
0x1f6a	0x1f7b
0x74f	0x762
0x20d1	0x20df
0x8f3	0x920
0x2026	0x2037
0x1fa5	0x1fb7
0xe65	0xe78
0x22f4	0x2302
0x48f	0x4bc
0x116c	0x117b
0x22dd	0x22e8
0x9a9	0x9cd
0x22be	0x22d1
0x9e4	0x9f0
0xa3e	0xa41
0xa80	0xa91
0x2292	0x229e
0x232f	0x233c
0xa41	0xa4a
0xb46	0xb4c
0xb6f	0xb93
0xbaa	0xbd7
0xc74	0xc77
0xcb6	0xcc7
0xc77	0xc80
0xe8f	0xe9e
0x10a9	0x10b8
0x110a	0x115f0x1047
0x11d0	0x11df
0x1201	0x1223
0x1447	0x144c
0x1463	0x1476
0x1920	0x1931
0x1693	0x169e
0x16f1	0x16fe
0x1b42	0x1b4c
0x170a	0x171a
0x172f	0x1740
0x1939	0x193e
0x1955	0x1968
0x1b53	0x1b59
0x1bbd	0x1bc8
0x1b6d	0x1b7b
0x1b90	0x1ba2
0x1bb4	0x1bb7
0x1b59	0x1b62
0x1c00	0x1c06
0x1bd5	0x1bde
0x1bf3	0x1c00
0x1d43	0x1d4c
0x1fc3	0x1fdb
0x203a	0x204d
0x2308	0x2314
0x1047	0x1056
0x20a	0x20e
0x234a	0x2352
0x22aa	0x22b2
0x1647	0x1653
0x1d22	0x1d2c
0x62	0x6d
0x142e	0x143f
0x1495	0x14a1
0x41	0x4c
0x36	0x41
0x2b	0x36
0x4c	0x57
0x57	0x62
0x7d	0x88
0x88	0x93
0xa3	0xae
0xae	0xb9
0xb9	0xc4
0xc4	0xcf
0xdf	0xea
0xea	0xf5
0x105	0x110
0x110	0x11b
0x11b	0x126
0x126	0x131
0x131	0x13c
0x14c	0x157
0x157	0x162
0x172	0x17d
0x17d	0x188
0x188	0x193
0x193	0x19e
0x1ae	0x1b9
0x1b9	0x1c4
0x143f	0x1447
0x1931	0x1939
0x6420x142e	0x6490x142e
0x6420x1920	0x6490x1920
0x4440x3d9	0x4580x3d9
0x4440x7f5	0x4580x7f5
0x41b0x3d9	0x4230x3d9
0x41b0x7f5	0x4230x7f5
0x4140x3d9	0x41b0x3d9
0x4140x7f5	0x41b0x7f5
0x7300x18eb	0x74a0x18eb
0x4580x3d9	0x4610x3d9
0x4580x7f5	0x4610x7f5
0x4360x3d9	0x4440x3d9
0x4360x7f5	0x4440x7f5
0x2115B0x294b	0x211eB0x294b
0x20f9B0x294b	0x2102B0x294b
0x20e9B0x294b	0x20f9B0x294b
0x211eB0x294b	0x2126B0x294b
0x4780x46bB0x1f5	0x47c0x46bB0x1f5
0x4780x538B0x24c	0x47c0x538B0x24c
0x730B0x2b5	0x74a0x730B0x2b5
0x2115B0x2b53	0x211eB0x2b53
0x20f9B0x2b53	0x2102B0x2b53
0x20e9B0x2b53	0x20f9B0x2b53
0x211eB0x2b53	0x2126B0x2b53
0x8a4B0x303	0x8aeB0x303
0x4780x98eB0x33c	0x47c0x98eB0x33c
0x1e3dB0x1f7e	0x1e50B0x1f7e
0x1e3dB0x1f87	0x1e50B0x1f87
0x1e3dB0x1fba	0x1e50B0x1fba
0x1e65B0x1fde	0x1e79B0x1fde
0x1e7cB0x1fde	0x1e93B0x1fde
0x1e54B0x1fde	0x1e62B0x1fde
0x1e65B0x2050	0x1e79B0x2050
0x1e7cB0x2050	0x1e93B0x2050
0x1e54B0x2050	0x1e62B0x2050
0x1c380x1910B0x1d96	0x1c3f0x1910B0x1d96
0x804B0x2ed	0x81eB0x2ed
0x82dB0x2ed	0x832B0x2ed
0x81eB0x2ed	0x82dB0x2ed
0x1c380x1c21B0x19100x18eb	0x1c3f0x1c21B0x19100x18eb
0x70eB0x297	0x718B0x297
0x730B0x718B0x297	0x74a0x730B0x718B0x297
0xd6fB0x3ae	0xd82B0x3ae
0xd99B0x3ae	0xdbbB0x3ae
0xe0cB0x3ae	0xe5a0xd6fB0x3ae
0xf50B0x3d4	0xf63B0x3d4
0xf7aB0x3d4	0xf9dB0x3d4
0x1f1eB0xa6b	0x1f2cB0xa6b
