[0x00000000, nil]
[0x00000000, [0x11, nil]]
[0x00000000, [0xeb, nil]]
[0x00000000, [0x248, [0xeb, nil]]]
[0x00000000, [0x3a7, [0x248, [0xeb, nil]]]]
[0x00000000, [0x3a7, [0xeb, nil]]]
[0x00000000, [0x3cb, [0xeb, nil]]]
