0xd7e
0x1310
0x15cd
0x1f9d
0x1faf
0x2879
0x3013
0x322b
0x3388
0x39cf
0x3a0e
0x3adb
0x3e62
0x3e84
0x3e94
0x3ea4
0x3eb4
0x3f44
0x3f77
0x3f8a
0x3fa4
0x3fc1
