0x142	0x19a
0x39f	0x47b
0x485	0x485
0x4e8	0x5b5
0x617	0x636
0x63b	0x662
0x1df	0x10d9
0x492	0x11e5
0x105	0x13d0x105
0x63b	0x13d0x63b
0x488	0x48d0x488
0x4d0	0x48d0x4d0
