0xfe	0x00000000
0x4c2	0x8b7efcb
0x4f3	0x2e1a7d4d
0x51d	0x30924c06
0x547	0x4ac96e94
0x57a	0x561a01b8
0x5ad	0x65294e1c
0x5d4	0x6dcbc6e4
0x5fe	0x77560452
0x613	0x8129fc1c
0x628	0x8da5cb5b
0x63d	0xa64b6e5f
0x680	0xb63e6b17
0x6b3	0xbff1f9e1
0x6c8	0xd091b550
0x6dd	0xebbc4965
0x6f2	0xf6707508
0x707	0xffdd5cf1
