0xfa
0x343
0x72f
0xd9e
0xffd
0x1076
0x108c
0x1657
0x1989
0x19ef
0x1db8
0x1f8e
0x2146
0x2149
0x214c
0x214f
0x2152
0x2155
0x2158
0x215b
0x215e
0x2161
0x2164
0x2167
0x216a
0x216d
0x2170
0x2173
