0xfa	0x6fdde03
0x17d	0x95ea7b3
0x1e1	0x153a1f3e
0x343	0x18160ddd
0x361	0x23b872dd
0x3e5	0x313ce567
0x403	0x504334c2
0x555	0x70a08231
0x5ad	0x8958d115
0x72f	0x95d89b41
0x7b2	0xa9059cbb
0x816	0xa9ed9cb8
0x870	0xab033ea9
0x8b4	0xdd62ed3e
0x92c	0xe1c7392a
0x2011	0x00000000
