0xfc
0x101
0x10b
0x118
0x12f
0x134
0x149
0x164
0x171
0x18c
0x19f
0x1b2
0x1cd
0x1e0
0x1f3
0x206
0x235
0x267
0x293
0x2f5
0x2fc
0x318
0x339
0x388
0x392
0x397
0x3b4
0x3c2
0x491
0x4e8
0x4f3
0x50a
0x5bf
0x5e9
0x61f
0x64a
0x74d
0x7ea
0x82d
0x863
0x8ad
0x8ed
0x8ff
0x92c
0x96f
0x98c
0xa4a
0xa6c
0xa7a
0xaa0
0xaae
0xad9
