0xee	0xcd2e30
0x103	0x6fdde03
0x121	0x95ea7b3
0x141	0x18160ddd
0x156	0x23b872dd
0x169	0x313ce567
0x17e	0x39509351
0x191	0x65380940
0x1a4	0x70a08231
0x1b7	0x95d89b41
0x1bf	0xa457c2d7
0x1d2	0xa9059cbb
0x1e5	0xc4d66de8
0x1f8	0xdd62ed3e
0xeea	0x00000000
